title,link,summary,cited_paper_url,abstract
"Mid-Air Transformation Helps Flying, Rolling Robot to Transition Smoothly",https://www.sciencedaily.com/releases/2025/05/250528150829.htm,"May 28, 2025 —Engineers have developed a real-life Transformer that has the 'brains' to morph in midair, allowing the drone-like robot to smoothly roll away and begin its ground operations without pause. The ...",http://dx.doi.org/10.1038/s44172-025-00413-6,
Emotional Responses Crucial to Attitudes About Self-Driving Cars,https://www.sciencedaily.com/releases/2025/05/250527124219.htm,"May 27, 2025 —When it comes to public attitudes toward using self-driving cars, understanding how the vehicles work is important -- but so are less obvious characteristics like feelings of excitement or pleasure ...",http://dx.doi.org/10.1016/j.trf.2025.03.014,
"AI Is Here to Stay, Let Students Embrace the Technology, Experts Urge",https://www.sciencedaily.com/releases/2025/05/250522133513.htm,"May 26, 2025 —A new study says students appear to be using generative artificial intelligence (GenAI) responsibly, and as a way to speed up tasks, not just boost their ...",http://dx.doi.org/10.1152/advan.00241.2024,
Could AI Understand Emotions Better Than We Do?,https://www.sciencedaily.com/releases/2025/05/250522124755.htm,"May 22, 2025 —Is artificial intelligence (AI) capable of suggesting appropriate behavior in emotionally charged situations? A team put six generative AIs -- including ChatGPT -- to the test using emotional ...",http://dx.doi.org/10.1038/s44271-025-00258-x,
Scientists Discover Class of Crystals With Properties That May Prove Revolutionary,https://www.sciencedaily.com/releases/2025/05/250521161106.htm,"May 21, 2025 —Researchers have discovered a new class of materials -- called intercrystals -- with unique electronic properties that could power future technologies. Intercrystals exhibit newly discovered forms of ...",,
Imaging Technique Removes the Effect of Water in Underwater Scenes,https://www.sciencedaily.com/releases/2025/05/250521125256.htm,"May 21, 2025 —SeaSplat is an image-analysis tool that cuts through the ocean's optical effects to generate images of underwater environments reveal an ocean scene's true colors. Researchers paired the ...",http://dx.doi.org/https://doi.org/10.48550/arXiv.2409.17345,
World's First Petahertz-Speed Phototransistor in Ambient Conditions,https://www.sciencedaily.com/releases/2025/05/250519204533.htm,"May 19, 2025 —Researchers demonstrated a way to to manipulate electrons using pulses of light that last less than a trillionth of a second to record electrons bypassing a physical barrier almost instantaneously -- ...",http://dx.doi.org/10.1038/s41467-025-59675-5,
Robots Learning Without Us? New Study Cuts Humans from Early Testing,https://www.sciencedaily.com/releases/2025/05/250519132026.htm,"May 19, 2025 —Humans no longer have exclusive control over training social robots to interact effectively, thanks to a new study. The study introduces a new simulation method that lets researchers test their ...",,
Empowering Robots With Human-Like Perception to Navigate Unwieldy Terrain,https://www.sciencedaily.com/releases/2025/05/250519132021.htm,"May 19, 2025 —Researchers have developed a novel framework named WildFusion that fuses vision, vibration and touch to enable robots to 'sense' and navigate complex outdoor environments much like humans ...",,
"With Evolutionary AI, Scientists Find Hidden Keys for Better Land Use",https://www.sciencedaily.com/releases/2025/05/250519131038.htm,"May 19, 2025 —A new AI decision making tool effectively balances various complex trade-offs to recommend ways of maximizing carbon storage, minimizing economic disruptions and helping improve the environment and ...",http://dx.doi.org/10.1017/eds.2025.18,
Remotely Controlled Robots at Your Fingertips: Enhancing Safety in Industrial Sites,https://www.sciencedaily.com/releases/2025/05/250519131817.htm,"May 19, 2025 —A research team has developed a novel haptic device designed to enhance both safety and efficiency for workers in industrial ...",http://dx.doi.org/10.1109/TII.2025.3556077,
Learning as an Adventure: The Lecture Theater in the Spaceship,https://www.sciencedaily.com/releases/2025/05/250515132510.htm,"May 15, 2025 —In Project Chimera, a game lab combines a VR computer game with educational problems in order to convey scientific content in a motivating ...",,
Seeing Blood Clots Before They Strike,https://www.sciencedaily.com/releases/2025/05/250515132126.htm,"May 15, 2025 —A lightning-fast microscope paired with AI now lets scientists watch platelets form clots in real time, all from a simple arm draw. The technique flagged higher platelet clumping in acute-symptom ...",http://dx.doi.org/10.1038/s41467-025-59664-8,
Following the Folds -- With Quantum Technology,https://www.sciencedaily.com/releases/2025/05/250514175424.htm,"May 14, 2025 —The connection between a crumpled sheet of paper and quantum technology: A research team at the EPFL in Lausanne (Switzerland) and the University of Konstanz (Germany) uses topology in microwave ...",,
Study Shows Vision-Language Models Can't Handle Queries With Negation Words,https://www.sciencedaily.com/releases/2025/05/250514165630.htm,"May 14, 2025 —Researchers found that vision-language models, widely used to analyze medical images, do not understand negation words like 'no' and 'not.' This could cause them to fail ...",http://dx.doi.org/10.48550/arXiv.2501.09425,
Artificial Intelligence and Genetics Can Help Farmers Grow Corn With Less Fertilizer,https://www.sciencedaily.com/releases/2025/05/250514164325.htm,"May 14, 2025 —Scientists are using artificial intelligence to determine which genes collectively govern nitrogen use efficiency in plants such as corn, with the goal of helping farmers improve their crop yields ...",http://dx.doi.org/10.1093/plcell/koaf093,
Energy and Memory: A New Neural Network Paradigm,https://www.sciencedaily.com/releases/2025/05/250514164320.htm,"May 14, 2025 —Listen to the first notes of an old, beloved song. Can you name that tune? If you can, congratulations -- it's a triumph of your associative memory, in which one piece of information (the first ...",http://dx.doi.org/10.1126/sciadv.adu6991,
How We Think About Protecting Data,https://www.sciencedaily.com/releases/2025/05/250514164318.htm,"May 14, 2025 —A new game-based experiment sheds light on the tradeoffs people are willing to make about data ...",,
The Key to Spotting Dyslexia Early Could Be AI-Powered Handwriting Analysis,https://www.sciencedaily.com/releases/2025/05/250514151712.htm,"May 14, 2025 —A new study outlines how artificial intelligence-powered handwriting analysis may serve as an early detection tool for dyslexia and dysgraphia among young ...",http://dx.doi.org/10.1007/s42979-025-03927-0,
Handy Octopus Robot Can Adapt to Its Surroundings,https://www.sciencedaily.com/releases/2025/05/250514141656.htm,"May 14, 2025 —Scientists inspired by the octopus's nervous system have developed a robot that can decide how to move or grip objects by sensing its ...",http://dx.doi.org/10.1126/scirobotics.adr4264,
Digital Lab for Data And Robot-Driven Materials Science,https://www.sciencedaily.com/releases/2025/05/250514120105.htm,"May 14, 2025 —Researchers have developed a digital laboratory (dLab) system that fully automates the material synthesis and structural, physical property evaluation of thin-film samples. With dLab, the team can ...",http://dx.doi.org/10.1039/D4DD00326H,
Protons on the Move,https://www.sciencedaily.com/releases/2025/05/250514111225.htm,"May 14, 2025 —Scientists have successfully relocated protons outside of an antimatter laboratory with the help of an autonomous, open Penning trap. This breakthrough marks a significant step toward transporting ...",,
Light-Driven Cockroach Cyborgs Navigate Without Wires or Surgery,https://www.sciencedaily.com/releases/2025/05/250514181651.htm,"May 14, 2025 —have created a new type of insect cyborg that can navigate autonomously -- without wires, surgery, or stress-inducing electrical shocks. The system uses a small ultraviolet (UV) light helmet to steer ...",http://dx.doi.org/10.1002/aisy.202400838,
